setting,subset,n,difference,explained_menref,explained_womenref,unexplained_menref,unexplained_womenref,explained_flip,unexplained_flip,any_flip,error,depth,seed,n_params
d=1 s=0,Random 30% #36,1028,-0.0048226599270606,0.0072406228032302,0.0128456358787628,-0.0120632827302908,-0.0176682958058234,False,False,False,,1,0,257
d=1 s=0,Random 30% #37,1028,-0.0037446257685728,0.0075652866193627,0.0313946532318181,-0.0113099123879356,-0.035139279000391,False,False,False,,1,0,257
d=1 s=0,Random 30% #38,1028,0.0108722741433021,-0.0093354956977931,0.0174875803722878,0.0202077698410952,-0.0066153062289856,True,True,True,,1,0,257
d=1 s=0,Random 30% #39,1028,0.0380230468256006,0.0093012461073824,0.006931917951834,0.0287218007182182,0.0310911288737666,False,False,False,,1,0,257
d=1 s=0,Random 30% #40,1028,-0.0156995008383602,0.0150791895916304,0.0186626326017464,-0.0307786904299907,-0.0343621334401066,False,False,False,,1,0,257
d=1 s=0,Random 30% #41,1028,0.0003191021554961,0.0130865867022458,0.0101878014757884,-0.0127674845467497,-0.0098686993202923,False,False,False,,1,0,257
d=1 s=0,Random 30% #42,1028,0.0039796984507742,0.0169350697303012,0.0109411983161231,-0.012955371279527,-0.0069614998653489,False,False,False,,1,0,257
d=1 s=0,Random 30% #43,1028,0.0320665445665445,0.0303077695120515,0.0268318243398882,0.0017587750544929,0.0052347202266563,False,False,False,,1,0,257
d=1 s=0,Random 30% #44,1028,0.014617494198646,0.0206835077198604,0.0239349176253234,-0.0060660135212144,-0.0093174234266774,False,False,False,,1,0,257
d=1 s=0,Random 30% #45,1028,-0.010677190889205,0.0113733778063801,0.0098450369921969,-0.0220505686955851,-0.0205222278814019,False,False,False,,1,0,257
d=1 s=0,Random 30% #46,1028,-0.0211341559464426,0.0090675793022702,0.010448826961778,-0.0302017352487129,-0.0315829829082206,False,False,False,,1,0,257
d=1 s=0,Random 30% #47,1028,0.0021068472535741,0.0396810480530318,0.0197862144474028,-0.0375742007994577,-0.0176793671938287,False,False,False,,1,0,257
d=1 s=0,Random 30% #48,1028,0.0099373113536103,0.0342867238212979,0.0265710158970114,-0.0243494124676875,-0.016633704543401,False,False,False,,1,0,257
d=1 s=0,Random 30% #49,1028,-0.0033935788911766,0.0278946190892725,0.0187471450470667,-0.0312881979804492,-0.0221407239382434,False,False,False,,1,0,257
d=1 s=0,Random 30% #50,1028,-0.0149638584774062,0.0174336994199437,0.0169990333219265,-0.03239755789735,-0.0319628917993328,False,False,False,,1,0,257
d=1 s=1,All Patients,3429,0.0078818040435458,0.0189251860052808,0.0257754176400269,-0.0110433819617349,-0.017893613596481,False,False,False,,1,1,257
d=1 s=1,ICUType 1.0,490,0.0294939989088925,0.0497653810874959,0.0412997426316714,-0.0202713821786034,-0.0118057437227789,False,False,False,,1,1,257
d=1 s=1,ICUType 2.0,643,-0.000975689080413,-0.0076985163022267,0.0121002938508341,0.0067228272218136,-0.0130759829312471,True,True,True,,1,1,257
d=1 s=1,ICUType 3.0,1357,-0.0217764843549488,0.0087271670043945,0.0178271165351787,-0.0305036513593434,-0.0396036008901276,False,False,False,,1,1,257
d=1 s=1,ICUType 4.0,939,0.0202084035501629,0.0254446155781698,0.0307549201093368,-0.0052362120280069,-0.0105465165591739,False,False,False,,1,1,257
d=1 s=1,Age decile 0,374,0.046026807780653,0.0267309343754317,0.0108179281238777,0.0192958734052212,0.0352088796567752,False,False,False,,1,1,257
d=1 s=1,Age decile 1,344,0.0273634472301562,0.0321706557866328,0.0079787752282975,-0.0048072085564766,0.0193846720018587,False,True,True,,1,1,257
d=1 s=1,Age decile 2,347,0.0042864169770219,-0.0025258682499951,0.0391954101284978,0.0068122852270171,-0.0349089931514758,True,True,True,,1,1,257
d=1 s=1,Age decile 3,325,0.0096292729898892,0.0166201290004795,0.0561552605111398,-0.0069908560105903,-0.0465259875212505,False,False,False,,1,1,257
d=1 s=1,Age decile 4,372,-0.0152359717577108,-0.0020433594476296,-0.0099573732749115,-0.0131926123100812,-0.0052785984827993,False,False,False,,1,1,257
d=1 s=1,Age decile 5,344,-0.0250497851378262,0.003730581554539,0.0218083378042573,-0.0287803666923653,-0.0468581229420835,False,False,False,,1,1,257
d=1 s=1,Age decile 6,397,-0.0004719207173194,0.0270063913881799,-4.9630240967851735e-05,-0.0274783121054994,-0.0004222904763516,True,False,True,,1,1,257
d=1 s=1,Age decile 7,247,0.0173747705218987,0.041374523751425,0.001186745254541,-0.0239997532295262,0.0161880252673577,False,True,True,,1,1,257
d=1 s=1,Age decile 8,354,-0.0216450216450216,0.0109998424347877,-0.0161249075898552,-0.0326448640798094,-0.0055201140551663,True,False,True,,1,1,257
d=1 s=1,Age decile 9,325,-0.0771864301276066,0.0571307151774109,0.030995204594946,-0.1343171453050175,-0.1081816347225526,False,False,False,,1,1,257
d=1 s=1,HR quartile 0,877,0.0371049136786188,0.0336023606398759,0.0201695845327675,0.0035025530387429,0.0169353291458512,False,False,False,,1,1,257
d=1 s=1,HR quartile 1,917,-0.0169849537037037,0.0154225782987026,0.0116604781017738,-0.0324075320024063,-0.0286454318054775,False,False,False,,1,1,257
d=1 s=1,HR quartile 2,816,0.034861311019492,0.0206340952861959,0.0173499530509336,0.0142272157332961,0.0175113579685584,False,False,False,,1,1,257
d=1 s=1,HR quartile 3,819,-0.0232600311906863,0.0173801658659419,0.0119563437606189,-0.0406401970566282,-0.0352163749513052,False,False,False,,1,1,257
d=1 s=1,MAP quartile 0,877,-0.0141240285818599,0.0189209478439368,0.0081519435645214,-0.0330449764257967,-0.0222759721463813,False,False,False,,1,1,257
d=1 s=1,MAP quartile 1,840,0.02392179413456,0.0047183602856676,0.0282793790803599,0.0192034338488924,-0.0043575849457998,False,True,True,,1,1,257
d=1 s=1,MAP quartile 2,866,0.0104058609958506,0.0175228152246108,0.010741220740817,-0.0071169542287602,-0.0003353597449663,False,False,False,,1,1,257
