setting,subset,n,difference,explained_menref,explained_womenref,unexplained_menref,unexplained_womenref,explained_flip,unexplained_flip,any_flip,error,arch,n_params
2,Random 30% #3,1028,-0.0136963318843895,0.0086337453823211,-0.0012830649884875,-0.0223300772667106,-0.012413266895902,True,False,True,,2,17
2,Random 30% #4,1028,0.012612065619632,0.016495889407654,-0.0049382573613294,-0.0038838237880219,0.0175503229809615,True,True,True,,2,17
2,Random 30% #5,1028,0.012955140579904,0.0154466777953266,0.0056105008214407,-0.0024915372154226,0.0073446397584632,False,True,True,,2,17
2,Random 30% #6,1028,0.011061887501678,0.0064724931352577,0.0011236543375642,0.0045893943664203,0.0099382331641138,False,False,False,,2,17
2,Random 30% #7,1028,-0.0019795447047178,0.0091996343284255,0.0101457225774952,-0.0111791790331434,-0.0121252672822131,False,False,False,,2,17
2,Random 30% #8,1028,-0.0013757582957458,0.0140791200933255,0.0089294830392826,-0.0154548783890714,-0.0103052413350284,False,False,False,,2,17
2,Random 30% #9,1028,0.0167924069116573,0.0095061635575409,0.0002363516955165,0.0072862433541164,0.0165560552161408,False,False,False,,2,17
2,Random 30% #10,1028,0.0218614718614718,0.0106252207217642,-0.0041707029237104,0.0112362511397076,0.0260321747851822,True,False,True,,2,17
2,Random 30% #11,1028,0.0036992125742528,0.0074681404528404,0.0003964655127103,-0.0037689278785876,0.0033027470615425,False,True,True,,2,17
2,Random 30% #12,1028,-0.0176439165409753,0.0035206770345787,-0.0044771019672387,-0.0211645935755541,-0.0131668145737366,True,False,True,,2,17
2,Random 30% #13,1028,0.0061871080085679,0.0076234185170008,0.0047079367761485,-0.0014363105084329,0.0014791712324193,False,True,True,,2,17
2,Random 30% #14,1028,-0.0024039572835282,0.0137593979475248,0.0031766161290317,-0.0161633552310531,-0.0055805734125599,False,False,False,,2,17
2,Random 30% #15,1028,-0.0014797507788162,0.0118498034441249,0.0010560144191893,-0.0133295542229411,-0.0025357651980055,False,False,False,,2,17
2,Random 30% #16,1028,0.006823838043474,0.0108981658729601,0.0019829343612543,-0.0040743278294861,0.0048409036822197,False,True,True,,2,17
2,Random 30% #17,1028,0.0030261642698374,0.022247709866906,0.0082302205680486,-0.0192215455970686,-0.0052040562982111,False,False,False,,2,17
2,Random 30% #18,1028,0.008237689744539,0.0051813486319126,-0.0009555938023239,0.0030563411126264,0.009193283546863,True,False,True,,2,17
2,Random 30% #19,1028,0.0066883064376393,0.0034423933967099,0.0009536628513746,0.0032459130409294,0.0057346435862646,False,False,False,,2,17
2,Random 30% #20,1028,-0.0099963316214233,0.0102065139040191,0.0089200377374601,-0.0202028455254424,-0.0189163693588834,False,False,False,,2,17
2,Random 30% #21,1028,0.002277451699682,0.0103956993857474,-0.0029358651355691,-0.0081182476860654,0.0052133168352512,True,True,True,,2,17
2,Random 30% #22,1028,0.0271739130434782,0.0152117013060119,0.002306112968127,0.0119622117374663,0.0248678000753512,False,False,False,,2,17
2,Random 30% #23,1028,0.0053719593676173,0.016199039942283,0.0018195027779251,-0.0108270805746657,0.0035524565896921,False,True,True,,2,17
2,Random 30% #24,1028,0.0374355138753044,0.0119433042809615,0.0004411263658584,0.0254922095943428,0.0369943875094459,False,False,False,,2,17
2,Random 30% #25,1028,0.0207335170659317,0.0115098635647444,0.0069758014512068,0.0092236535011873,0.0137577156147248,False,False,False,,2,17
2,Random 30% #26,1028,0.000322640117994,0.0127766148018231,-0.0051765396775842,-0.012453974683829,0.0054991797955783,True,True,True,,2,17
2,Random 30% #27,1028,-0.0133699862551543,0.0128556244478945,-0.0038431441362401,-0.0262256107030488,-0.0095268421189141,True,False,True,,2,17
2,Random 30% #28,1028,0.0048546691403834,0.0016041975660127,0.0006113813503378,0.0032504715743706,0.0042432877900455,False,False,False,,2,17
2,Random 30% #29,1028,0.0132264436461088,0.0065858052008127,-0.0002230417171043,0.0066406384452961,0.0134494853632132,True,False,True,,2,17
2,Random 30% #30,1028,0.0073191060456281,0.0130993769866949,9.4556113616015e-05,-0.0057802709410668,0.0072245499320121,False,True,True,,2,17
2,Random 30% #31,1028,0.0186572318838355,0.0097994967125066,-0.0006602792290141,0.0088577351713289,0.0193175111128496,True,False,True,,2,17
2,Random 30% #32,1028,0.0146773132638857,0.0235748583827978,0.0027513352934799,-0.0088975451189121,0.0119259779704058,False,True,True,,2,17
2,Random 30% #33,1028,0.0107989019115876,0.0115381464413545,0.0071652386965845,-0.0007392445297668,0.0036336632150031,False,True,True,,2,17
2,Random 30% #34,1028,0.0036708111308466,0.0106553407297791,0.0038809990210167,-0.0069845295989324,-0.00021018789017,False,False,False,,2,17
2,Random 30% #35,1028,-0.0021279853031231,0.0069087140647347,0.0038339880124934,-0.0090366993678578,-0.0059619733156165,False,False,False,,2,17
2,Random 30% #36,1028,-0.0048226599270606,0.0118696254780346,-0.0027198683906378,-0.0166922854050953,-0.0021027915364227,True,False,True,,2,17
2,Random 30% #37,1028,-0.0037446257685728,0.0175253538581358,-0.0015083250486327,-0.0212699796267087,-0.0022363007199401,True,False,True,,2,17
2,Random 30% #38,1028,0.0108722741433021,0.0028618343801063,0.0023813527555642,0.0080104397631958,0.0084909213877379,False,False,False,,2,17
2,Random 30% #39,1028,0.0380230468256006,0.0085069240777962,-0.0051717069458295,0.0295161227478043,0.0431947537714301,True,False,True,,2,17
2,Random 30% #40,1028,-0.0156995008383602,0.0093872172376269,-0.0025429926002478,-0.0250867180759872,-0.0131565082381124,True,False,True,,2,17
2,Random 30% #41,1028,0.0003191021554961,0.0220680538806633,0.0009766131118565,-0.0217489517251672,-0.0006575109563604,False,False,False,,2,17
2,Random 30% #42,1028,0.0039796984507742,0.0158865137203377,-0.0032509582562187,-0.0119068152695634,0.007230656706993,True,True,True,,2,17
2,Random 30% #43,1028,0.0320665445665445,0.0104476024550914,0.0126708521959115,0.021618942111453,0.019395692370633,False,False,False,,2,17
2,Random 30% #44,1028,0.014617494198646,0.0074586125698486,0.0054453494706331,0.0071588816287973,0.0091721447280129,False,False,False,,2,17
2,Random 30% #45,1028,-0.010677190889205,0.0052972628853189,-0.0029749687160541,-0.0159744537745239,-0.0077022221731508,True,False,True,,2,17
2,Random 30% #46,1028,-0.0211341559464426,0.0099289378588744,0.003410356607687,-0.031063093805317,-0.0245445125541296,False,False,False,,2,17
2,Random 30% #47,1028,0.0021068472535741,0.0121380526955196,0.0029334249211035,-0.0100312054419455,-0.0008265776675293,False,False,False,,2,17
2,Random 30% #48,1028,0.0099373113536103,0.0140263769303913,0.0022864104893009,-0.0040890655767809,0.0076509008643094,False,True,True,,2,17
2,Random 30% #49,1028,-0.0033935788911766,0.0149629112439124,-0.0018558950055397,-0.0183564901350891,-0.0015376838856369,True,False,True,,2,17
2,Random 30% #50,1028,-0.0149638584774062,0.0114405736082012,0.0019645843635023,-0.0264044320856075,-0.0169284428409086,False,False,False,,2,17
