setting,subset,n,difference,explained_menref,explained_womenref,unexplained_menref,unexplained_womenref,explained_flip,unexplained_flip,any_flip,error,width,seed,n_params
w=8 s=0,Random 30% #15,1028,-0.0014797507788162,0.027518659878533,0.0180061936821467,-0.0289984106573492,-0.0194859444609629,False,False,False,,8,0,209
w=8 s=0,Random 30% #16,1028,0.006823838043474,0.0029478205572426,0.0248630348063823,0.0038760174862313,-0.0180391967629083,False,True,True,,8,0,209
w=8 s=0,Random 30% #17,1028,0.0030261642698374,0.0359513929508964,0.0310810930031675,-0.0329252286810589,-0.02805492873333,False,False,False,,8,0,209
w=8 s=0,Random 30% #18,1028,0.008237689744539,0.009540993575064,0.0287583983716263,-0.0013033038305249,-0.0205207086270872,False,False,False,,8,0,209
w=8 s=0,Random 30% #19,1028,0.0066883064376393,0.000923679215608,0.0028976278415565,0.0057646272220312,0.0037906785960827,False,False,False,,8,0,209
w=8 s=0,Random 30% #20,1028,-0.0099963316214233,0.0127636455681535,0.0206870294780663,-0.0227599771895769,-0.0306833610994896,False,False,False,,8,0,209
w=8 s=0,Random 30% #21,1028,0.002277451699682,0.0247684601021247,0.0093367788705497,-0.0224910084024427,-0.0070593271708676,False,False,False,,8,0,209
w=8 s=0,Random 30% #22,1028,0.0271739130434782,0.0021059018880802,0.020243040831877,0.025068011155398,0.0069308722116012,False,False,False,,8,0,209
w=8 s=0,Random 30% #23,1028,0.0053719593676173,0.0259769622761536,0.0082724658615462,-0.0206050029085362,-0.0029005064939288,False,False,False,,8,0,209
w=8 s=0,Random 30% #24,1028,0.0374355138753044,0.0262020102289639,0.0144277437984749,0.0112335036463405,0.0230077700768295,False,False,False,,8,0,209
w=8 s=0,Random 30% #25,1028,0.0207335170659317,0.000241923381071,0.0162443361685477,0.0204915936848607,0.004489180897384,False,False,False,,8,0,209
w=8 s=0,Random 30% #26,1028,0.000322640117994,0.02020938535737,0.0073406135080112,-0.0198867452393759,-0.0070179733900171,False,False,False,,8,0,209
w=8 s=0,Random 30% #27,1028,-0.0133699862551543,0.0214251457714309,-0.0091031857975034,-0.0347951320265852,-0.0042668004576508,True,False,True,,8,0,209
w=8 s=0,Random 30% #28,1028,0.0048546691403834,0.0282559120582882,0.0302273130195197,-0.0234012429179048,-0.0253726438791363,False,False,False,,8,0,209
w=8 s=0,Random 30% #29,1028,0.0132264436461088,0.0054190918710577,0.0015420420233112,0.0078073517750511,0.0116844016227976,False,False,False,,8,0,209
w=8 s=0,Random 30% #30,1028,0.0073191060456281,0.0031942824872031,0.0054209495239032,0.004124823558425,0.0018981565217248,False,False,False,,8,0,209
w=8 s=0,Random 30% #31,1028,0.0186572318838355,0.0230904918371072,0.0312012274050268,-0.0044332599532717,-0.0125439955211913,False,False,False,,8,0,209
w=8 s=0,Random 30% #32,1028,0.0146773132638857,0.0392531924768952,0.0013054789660507,-0.0245758792130094,0.0133718342978349,False,True,True,,8,0,209
w=8 s=0,Random 30% #33,1028,0.0107989019115876,0.0176964315713446,0.0247014619527047,-0.0068975296597569,-0.0139025600411171,False,False,False,,8,0,209
w=8 s=0,Random 30% #34,1028,0.0036708111308466,0.0107735130417974,0.0174310013649195,-0.0071027019109507,-0.0137601902340728,False,False,False,,8,0,209
w=8 s=0,Random 30% #35,1028,-0.0021279853031231,0.0268258324315425,0.0137299546374607,-0.0289538177346656,-0.0158579399405838,False,False,False,,8,0,209
w=8 s=0,Random 30% #36,1028,-0.0048226599270606,0.032725400461398,0.0183310878606305,-0.0375480603884586,-0.0231537477876911,False,False,False,,8,0,209
w=8 s=0,Random 30% #37,1028,-0.0037446257685728,0.0277337133567907,0.0541165899075494,-0.0314783391253636,-0.0578612156761223,False,False,False,,8,0,209
w=8 s=0,Random 30% #38,1028,0.0108722741433021,-0.0106398322206604,0.028233307977948,0.0215121063639626,-0.0173610338346458,True,True,True,,8,0,209
w=8 s=0,Random 30% #39,1028,0.0380230468256006,0.0226385848963789,0.0149324464770348,0.0153844619292217,0.0230906003485657,False,False,False,,8,0,209
w=8 s=0,Random 30% #40,1028,-0.0156995008383602,-0.0048375207296885,0.0223369930030878,-0.0108619801086717,-0.038036493841448,True,False,True,,8,0,209
