setting,subset,n,difference,explained_menref,explained_womenref,unexplained_menref,unexplained_womenref,explained_flip,unexplained_flip,any_flip,error,max_depth
depth 1,Urine quartile 0,859,-0.0313289760348584,0.0028577933434502,0.0027121062001947,-0.0341867693783086,-0.0340410822350532,False,False,False,,1
depth 1,Urine quartile 1,913,-0.0210526315789473,-0.0088137743931218,0.0083481951447373,-0.0122388571858255,-0.0294008267236846,True,False,True,,1
depth 1,Urine quartile 2,802,0.0149901230333403,0.0206437800605947,0.0293248148738113,-0.0056536570272544,-0.014334691840471,False,False,False,,1
depth 1,Urine quartile 3,855,0.0601118199903958,0.0274030774573145,0.0078184466182977,0.0327087425330812,0.052293373372098,False,False,False,,1
depth 1,SAPS quartile 0,1025,0.0026756349262149,0.0050891861191964,0.0139743220986333,-0.0024135511929815,-0.0112986871724183,False,False,False,,1
depth 1,SAPS quartile 1,946,0.0452124666297511,0.0078884777028583,0.0240813014310103,0.0373239889268928,0.0211311651987408,False,False,False,,1
depth 1,SAPS quartile 2,660,0.0015384615384615,0.0088834784398428,0.0195709626462597,-0.0073450169013813,-0.0180325011077981,False,False,False,,1
depth 1,SAPS quartile 3,798,-0.0389986891196934,0.0209090924584479,0.0169236522498349,-0.0599077815781413,-0.0559223413695283,False,False,False,,1
depth 1,HR > 100,945,-0.0351262896411669,0.0078442685322756,0.0135814966205498,-0.0429705581734426,-0.0487077862617168,False,False,False,,1
depth 1,MAP < 65,697,-0.0279136809159047,0.0031132681407423,-0.0045689518215689,-0.0310269490566471,-0.0233447290943358,True,False,True,,1
depth 1,Temp > 38C,267,-0.0430204913392958,0.0040595909182248,0.005443876450313,-0.0470800822575206,-0.0484643677896088,False,False,False,,1
depth 1,Urine > 1000,210,0.0458952811893988,0.0395668511870862,-0.0053643601798737,0.0063284300023126,0.0512596413692725,True,False,True,,1
depth 1,Random 50% #1,1714,0.0148182289884191,0.0124703385643953,0.012988019288171,0.0023478904240238,0.0018302097002481,False,False,False,,1
depth 1,Random 50% #2,1714,0.0038708396744524,0.0093056348848408,0.0107911774345645,-0.0054347952103883,-0.0069203377601121,False,False,False,,1
depth 1,Random 50% #3,1714,0.0221853388658367,0.012832628771673,0.0167620150184833,0.0093527100941637,0.0054233238473534,False,False,False,,1
depth 1,Random 50% #4,1714,0.0209444740819774,0.0115012637869244,0.0138738285641053,0.0094432102950529,0.007070645517872,False,False,False,,1
depth 1,Random 50% #5,1714,0.025145147627017,0.0135070863549993,0.0181230857962288,0.0116380612720176,0.0070220618307882,False,False,False,,1
depth 1,Random 50% #6,1714,-0.0032358828377694,0.0079427609153617,0.017272790481811,-0.0111786437531312,-0.0205086733195805,False,False,False,,1
depth 1,Random 50% #7,1714,0.0203886964648963,0.0105834738126779,0.0243422600991159,0.0098052226522184,-0.0039535636342195,False,True,True,,1
depth 1,Random 50% #8,1714,-0.0080211409064465,0.0170808517369477,0.0235007152293064,-0.0251019926433943,-0.031521856135753,False,False,False,,1
depth 1,Random 50% #9,1714,-0.0018808498325041,0.0122173173441406,0.0247504070268483,-0.0140981671766448,-0.0266312568593525,False,False,False,,1
depth 1,Random 50% #10,1714,0.0032849222618878,0.0084754115976189,0.0078637853163338,-0.005190489335731,-0.0045788630544459,False,False,False,,1
depth 1,Random 50% #11,1714,0.0064028840624585,0.0133817555162365,0.0227256039889288,-0.006978871453778,-0.0163227199264702,False,False,False,,1
depth 1,Random 50% #12,1714,-0.0033234372422892,0.0130767387590667,0.0130182663430477,-0.016400176001356,-0.0163417035853369,False,False,False,,1
