setting,subset,n,difference,explained_menref,explained_womenref,unexplained_menref,unexplained_womenref,explained_flip,unexplained_flip,any_flip,error,n_estimators
trees 10,SAPS quartile 1,946,0.0452124666297511,0.0025067971389527,0.0045972133072192,0.0427056694907984,0.0406152533225319,False,False,False,,10
trees 10,SAPS quartile 2,660,0.0015384615384615,0.0033195588350869,0.0038869567272754,-0.0017810972966253,-0.0023484951888139,False,False,False,,10
trees 10,SAPS quartile 3,798,-0.0389986891196934,0.0101195321807796,0.0079323375026424,-0.0491182213004731,-0.0469310266223359,False,False,False,,10
trees 10,HR > 100,945,-0.0351262896411669,0.0019290492552458,0.0032811555251195,-0.0370553388964128,-0.0384074451662865,False,False,False,,10
trees 10,MAP < 65,697,-0.0279136809159047,0.0028333628137631,0.0018683900530271,-0.0307470437296679,-0.0297820709689319,False,False,False,,10
trees 10,Temp > 38C,267,-0.0430204913392958,0.0050516599901235,0.0046807710293477,-0.0480721513294193,-0.0477012623686435,False,False,False,,10
trees 10,Urine > 1000,210,0.0458952811893988,0.0077927108004005,-0.0013617859754781,0.0381025703889982,0.0472570671648769,True,False,True,,10
trees 10,Random 50% #1,1714,0.0148182289884191,0.0047268883826729,0.002769468298919,0.0100913406057462,0.0120487606895001,False,False,False,,10
trees 10,Random 50% #2,1714,0.0038708396744524,0.0044811488969933,0.0017959767145575,-0.0006103092225409,0.0020748629598949,False,True,True,,10
trees 10,Random 50% #3,1714,0.0221853388658367,0.0051187175785398,0.0052845020106636,0.0170666212872969,0.0169008368551731,False,False,False,,10
trees 10,Random 50% #4,1714,0.0209444740819774,0.0062051391939677,0.00332302278153,0.0147393348880096,0.0176214513004474,False,False,False,,10
trees 10,Random 50% #5,1714,0.025145147627017,0.0050936995892771,0.0051600784678178,0.0200514480377399,0.0199850691591992,False,False,False,,10
trees 10,Random 50% #6,1714,-0.0032358828377694,0.0036009476477619,0.0052529386555297,-0.0068368304855314,-0.0084888214932992,False,False,False,,10
