sweep,setting,subset_name,subset_value,pop_name,y_name,delta_y,explained_1,unexplained_1,explained_0,unexplained_0,n_1,n_0,error,n_features,seconds,explained_flip,unexplained_flip,any_flip
nn_width,w=32 s=1,st,47,immigrant,pincp,-0.12017643285205182,0.027906441778105417,-0.09905773732192102,-0.09213972884038135,0.020988433296565745,982,16687,,92,4.12,True,True,True
nn_width,w=32 s=1,st,47,immigrant,hicov,-0.22928094933956544,-0.14281674090552365,-0.08408534085907593,-0.02980808274858593,-0.19709399901601365,982,16687,,92,10.48,False,False,False
nn_width,w=32 s=1,st,48,sex_female,pincp,-0.280056055773656,-0.06320111234883896,-0.1497406839219213,-0.06189895213296204,-0.15104284413779823,31110,42184,,92,11.43,False,False,False
nn_width,w=32 s=1,st,48,sex_female,hicov,0.05040712336269337,-0.0005044373298968008,0.05351935705871136,0.026098746413083185,0.026916173315731373,31110,42184,,92,40.76,True,False,True
nn_width,w=32 s=1,st,48,race_bw,pincp,-0.2224747386930428,-0.08364504943474138,-0.18694090227467797,-0.1061363767304595,-0.16444957497895984,6632,57703,,91,13.05,False,False,False
nn_width,w=32 s=1,st,48,race_bw,hicov,0.020478520087899965,-0.005967550000265165,0.020389584096430324,-0.001205696619583252,0.01562773071574841,6632,57703,,91,38.42,False,False,False
nn_width,w=32 s=1,st,48,immigrant,pincp,-0.24244797762234072,-0.06407359627932152,-0.28521280868274346,-0.077092699067979,-0.272193705894086,14045,59249,,92,13.5,False,False,False
nn_width,w=32 s=1,st,48,immigrant,hicov,-0.18640997892927536,-0.10710760462471369,-0.10862478513504947,-0.06643886118131581,-0.14929352857844735,14045,59249,,92,49.55,False,False,False
nn_width,w=32 s=1,st,49,sex_female,pincp,-0.3688677720811935,-0.05846330663770516,-0.26600758183487905,-0.06684045781346448,-0.2576304306591197,2631,4858,,91,1.99,False,False,False
nn_width,w=32 s=1,st,49,sex_female,hicov,0.016111383121001355,-0.019735079439332504,0.030320179292483318,-0.007242459305117799,0.017827559158268613,2631,4858,,91,3.72,False,False,False
nn_width,w=32 s=1,st,49,race_bw,pincp,-0.3013406887576444,0.8981719802751904,-1.1621873056545375,-0.15168839441460236,-0.11232693096474478,54,6795,,90,1.27,True,False,True
